# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.509761537138e-08       7.359976146305e-13       4.861960838694e-11       0.000000000000e+00       8.912122563370e-07       4.902953439679e-08      -2.534347440722e-10 
    3       1.423205759301e-08       1.246231860137e-12       6.117780017021e-11       0.000000000000e+00       5.477443857204e-07       3.494999049345e-08      -2.229001749251e-10 
    4       1.337783366591e-08       1.455017438539e-12       6.328362308270e-11       0.000000000000e+00       3.800620386964e-07       2.659940781618e-08      -1.778037825146e-10 
    5       1.270079995587e-08       1.345522386678e-12       5.926264382294e-11       0.000000000000e+00       2.824852695422e-07       2.109951816109e-08      -1.319698984784e-10 
    6       1.220197921762e-08       1.038201329014e-12       5.214995527445e-11       0.000000000000e+00       2.201179105442e-07       1.722874655924e-08      -9.017413694794e-11 
    7       1.185141374218e-08       6.880894895473e-13       4.400351198737e-11       0.000000000000e+00       1.775814902991e-07       1.437470695766e-08      -5.485157398893e-11 
    8       1.161691818139e-08       4.066192478652e-13       3.605896069066e-11       0.000000000000e+00       1.468953009503e-07       1.219421153523e-08      -2.708880929966e-11 
    9       1.147367227022e-08       2.350915327268e-13       2.904849923370e-11       0.000000000000e+00       1.237947710868e-07       1.048149210742e-08      -7.049714045974e-12 
   10       1.140004310864e-08       1.582187483602e-13       2.338296357996e-11       0.000000000000e+00       1.058342501008e-07       9.109610047796e-09       5.803782117602e-12 
   11       1.138192983303e-08       1.355345292423e-13       1.923098551352e-11       0.000000000000e+00       8.964558870857e-08       8.023947966207e-09       1.244004402013e-11 
   12       1.140835847047e-08       1.297484226750e-13       1.656478398601e-11       0.000000000000e+00       7.832617863429e-08       7.093542992660e-09       1.433581785546e-11 
   13       1.146737723197e-08       1.209254011756e-13       1.520577693344e-11       0.000000000000e+00       6.903455085967e-08       6.334596805291e-09       1.288067589138e-11 
   14       1.154899942166e-08       1.062405017613e-13       1.489026416937e-11       0.000000000000e+00       6.130393846692e-08       5.676783124551e-09       9.359115062837e-12 
   15       1.165383256035e-08       9.172645052170e-14       1.532159130760e-11       0.000000000000e+00       5.479704392811e-08       5.126702664859e-09       5.005153725721e-12 
   16       1.177777404506e-08       8.356108485275e-14       1.619484931594e-11       0.000000000000e+00       4.926485339352e-08       4.659554735542e-09       7.357829050597e-13 
   17       1.191266160974e-08       8.350520840121e-14       1.725163797885e-11       0.000000000000e+00       4.451927309596e-08       4.255349413636e-09      -2.809581404374e-12 
   18       1.205870879882e-08       8.880383717046e-14       1.831093699681e-11       0.000000000000e+00       4.040055131052e-08       3.895724702826e-09      -5.273060213913e-12 
   19       1.221675675280e-08       9.616261960735e-14       1.927455303481e-11       0.000000000000e+00       3.684290538169e-08       3.577999738129e-09      -6.564342267650e-12 
   20       1.238133506216e-08       1.022020861334e-13       2.006401331363e-11       0.000000000000e+00       3.370960667325e-08       3.297161974264e-09      -6.765118866398e-12 
   21       1.255364351965e-08       1.072252493911e-13       2.068624950319e-11       0.000000000000e+00       3.095145360503e-08       3.049045666171e-09      -6.090979909678e-12 
   22       1.273358504194e-08       1.130673093072e-13       2.118715466830e-11       0.000000000000e+00       2.850235127414e-08       2.825691968613e-09      -4.880372314015e-12 
   23       1.292005434530e-08       1.216709204034e-13       2.161466404913e-11       0.000000000000e+00       2.632863497389e-08       2.623957703611e-09      -3.431457807296e-12 
   24       1.310981409346e-08       1.348922342728e-13       2.202412890848e-11       0.000000000000e+00       2.438010157948e-08       2.440289306259e-09      -2.057792012511e-12 
   25       1.330458391985e-08       1.527737579387e-13       2.246231112113e-11       0.000000000000e+00       2.263384699620e-08       2.275316442651e-09      -9.452202741210e-13 
   26       1.350562030144e-08       1.746164674125e-13       2.296962700108e-11       0.000000000000e+00       2.105827162055e-08       2.128894597300e-09      -2.283241018067e-13 
   27       1.371098182201e-08       1.997787133277e-13       2.354973516515e-11       0.000000000000e+00       1.963447749247e-08       1.997509095730e-09       7.308683218882e-14 
   28       1.391702115518e-08       2.276179642131e-13       2.418745567120e-11       0.000000000000e+00       1.833792052660e-08       1.875921892711e-09      -2.366574972066e-15 
   29       1.412472523934e-08       2.580827468647e-13       2.485259023255e-11       0.000000000000e+00       1.716198056283e-08       1.763738014677e-09      -3.735391753650e-13 
   30       1.433555714837e-08       2.912928433186e-13       2.550063602968e-11       0.000000000000e+00       1.609403169592e-08       1.661220813771e-09      -9.166942128941e-13 
   31       1.454993467627e-08       3.273054695870e-13       2.607887949701e-11       0.000000000000e+00       1.511229270950e-08       1.567723644768e-09      -1.486805284110e-12 
   32       1.476816562790e-08       3.659068390593e-13       2.654818361516e-11       0.000000000000e+00       1.421169666897e-08       1.482436462098e-09      -1.996713190538e-12 
   33       1.498958759591e-08       4.067323826580e-13       2.686823119142e-11       0.000000000000e+00       1.338587913788e-08       1.403729001932e-09      -2.364920694023e-12 
   34       1.521291127595e-08       4.494680808193e-13       2.700036334328e-11       0.000000000000e+00       1.262328884127e-08       1.329565563674e-09      -2.516627510613e-12 
   35       1.543879399290e-08       4.943882338938e-13       2.693876141997e-11       0.000000000000e+00       1.192002478046e-08       1.259986341390e-09      -2.461923855676e-12 
   36       1.566799889664e-08       5.420128354546e-13       2.669043786098e-11       0.000000000000e+00       1.127044691043e-08       1.195405230660e-09      -2.246032581711e-12 
   37       1.590074529031e-08       5.928789215081e-13       2.626655927603e-11       0.000000000000e+00       1.066610375967e-08       1.135928608623e-09      -1.924665136158e-12 
   38       1.613707833566e-08       6.472146142881e-13       2.567955636207e-11       0.000000000000e+00       1.010543473905e-08       1.081377780846e-09      -1.546031292284e-12 
   39       1.637649696553e-08       7.051619007908e-13       2.494561663635e-11       0.000000000000e+00       9.586661754154e-09       1.031216570532e-09      -1.164403993610e-12 
   40       1.661776523232e-08       7.668637161171e-13       2.408584606687e-11       0.000000000000e+00       9.104837891078e-09       9.845023648344e-10      -8.458810160815e-13 
   41       1.685948063220e-08       8.324389106317e-13       2.312026395739e-11       0.000000000000e+00       8.653570980250e-09       9.401844500738e-10      -6.517550227487e-13 
   42       1.710216992059e-08       9.018977393435e-13       2.204671291535e-11       0.000000000000e+00       8.231533560176e-09       8.981964082960e-10      -5.803524708181e-13 
   43       1.734675769239e-08       9.751985893341e-13       2.085559000023e-11       0.000000000000e+00       7.837606885591e-09       8.586629075269e-10      -6.074938590572e-13 
   44       1.759396125436e-08       1.052268639030e-12       1.953543016707e-11       0.000000000000e+00       7.468927475519e-09       8.215880219357e-10      -7.017689060844e-13 
   45       1.784425637472e-08       1.133031406691e-12       1.807341485896e-11       0.000000000000e+00       7.121910059891e-09       7.868846905396e-10      -8.289718736204e-13 
   46       1.809782405782e-08       1.217503627186e-12       1.645739396022e-11       0.000000000000e+00       6.796008414516e-09       7.544988276590e-10      -9.680810273975e-13 
   47       1.835454329286e-08       1.305724154126e-12       1.467424104679e-11       0.000000000000e+00       6.490842600267e-09       7.243041028178e-10      -1.099267949936e-12 
   48       1.861397175449e-08       1.397726881768e-12       1.270916954002e-11       0.000000000000e+00       6.205064615380e-09       6.960568194580e-10      -1.199236765175e-12 
   49       1.887531914085e-08       1.493540567881e-12       1.054563607909e-11       0.000000000000e+00       5.936286411326e-09       6.693875207085e-10      -1.241042753675e-12 
   50       1.913777078709e-08       1.593188873871e-12       8.169852970571e-12       0.000000000000e+00       5.681799005620e-09       6.439055208187e-10      -1.202703604187e-12 
   51       1.940162391854e-08       1.696690908967e-12       5.585993696976e-12       0.000000000000e+00       5.441126939504e-09       6.195654241369e-10      -1.096209581579e-12 
   52       1.966741373371e-08       1.804060527559e-12       2.804947744937e-12       0.000000000000e+00       5.214042769948e-09       5.963855836220e-10      -9.460743063220e-13 
   53       1.993558014799e-08       1.915305961899e-12      -1.598103204916e-13       0.000000000000e+00       4.999802643032e-09       5.743408634411e-10      -7.814572268107e-13 
   54       2.020645761523e-08       2.030429655187e-12      -3.292100585670e-12       0.000000000000e+00       4.797111537905e-09       5.533595588870e-10      -6.363960056896e-13 
   55       2.048028088938e-08       2.149429379131e-12      -6.576925393455e-12       0.000000000000e+00       4.604518290653e-09       5.333528128136e-10      -5.418390539650e-13 
   56       2.075722730367e-08       2.272302294118e-12      -1.001353862616e-11       0.000000000000e+00       4.421795204857e-09       5.143184786393e-10      -4.988929491290e-13 
   57       2.103736716604e-08       2.399041605317e-12      -1.360541245042e-11       0.000000000000e+00       4.248840287985e-09       4.962576641366e-10      -4.993361442752e-13 
   58       2.132063938989e-08       2.529635252261e-12      -1.735654899700e-11       0.000000000000e+00       4.085259879612e-09       4.791427210089e-10      -5.331513527316e-13 
   59       2.160684193657e-08       2.664065791978e-12      -2.127151624165e-11       0.000000000000e+00       3.930350640057e-09       4.629154309051e-10      -5.884384596258e-13 
   60       2.189562225801e-08       2.802310282129e-12      -2.535548388589e-11       0.000000000000e+00       3.783081539014e-09       4.474851914361e-10      -6.513274334525e-13 
   61       2.218662687378e-08       2.944336777381e-12      -2.961319975549e-11       0.000000000000e+00       3.642380079372e-09       4.327542066182e-10      -7.088331185303e-13 
   62       2.248001095747e-08       3.090093163935e-12      -3.404556933708e-11       0.000000000000e+00       3.508106790791e-09       4.187037693027e-10      -7.583654301328e-13 
   63       2.277602669321e-08       3.239515600005e-12      -3.865236865891e-11       0.000000000000e+00       3.380268505640e-09       4.053242149552e-10      -8.002089995822e-13 
   64       2.307486981546e-08       3.392531461535e-12      -4.343323824401e-11       0.000000000000e+00       3.258725232797e-09       3.925886880136e-10      -8.347757916190e-13 
   65       2.337667510084e-08       3.549059117882e-12      -4.838768537444e-11       0.000000000000e+00       3.143181799431e-09       3.804521847339e-10      -8.626113596251e-13 
   66       2.368151185990e-08       3.709007707481e-12      -5.351508635552e-11       0.000000000000e+00       3.033179492791e-09       3.688505960358e-10      -8.844011008451e-13 
   67       2.398937942893e-08       3.872276913530e-12      -5.881468878008e-11       0.000000000000e+00       2.928087701994e-09       3.576997503485e-10      -9.009765116093e-13 
   68       2.430025457502e-08       4.038766271628e-12      -6.428547503750e-11       0.000000000000e+00       2.827272270302e-09       3.469183443518e-10      -9.132494030446e-13 
   69       2.461425494281e-08       4.208405784189e-12      -6.992571566401e-11       0.000000000000e+00       2.730658847328e-09       3.365042701903e-10      -9.219850872915e-13 
   70       2.493150077974e-08       4.381131134830e-12      -7.573332914119e-11       0.000000000000e+00       2.638269196237e-09       3.264721057492e-10      -9.279942588310e-13 
   71       2.525206282966e-08       4.556874724372e-12      -8.170601138199e-11       0.000000000000e+00       2.550050813260e-09       3.168302551708e-10      -9.322053012795e-13 
   72       2.557595915227e-08       4.735565690303e-12      -8.784123444629e-11       0.000000000000e+00       2.465873088929e-09       3.075806026437e-10      -9.356687001681e-13 
   73       2.590315194263e-08       4.917129926237e-12      -9.413624525637e-11       0.000000000000e+00       2.385523469310e-09       2.987181661928e-10      -9.395614557218e-13 
