# dimensionless [l(l+1)/2pi] C_l's for scalar adiabatic (AD) mode
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.494962547843e-06       7.287833805861e-11       4.814303995059e-09       0.000000000000e+00       8.825442092707e-05       4.854859432601e-06      -2.509505817301e-08 
    3       1.409253411116e-06       1.234016320121e-10       6.057813659456e-09       0.000000000000e+00       5.420601108280e-05       3.460410740589e-06      -2.207153118252e-08 
    4       1.324674399781e-06       1.440755386418e-10       6.266331829225e-09       0.000000000000e+00       3.766950199635e-05       2.634168818061e-06      -1.760609533527e-08 
    5       1.257640798145e-06       1.332333602887e-10       5.868175262925e-09       0.000000000000e+00       2.811547748279e-05       2.090346735880e-06      -1.306763321106e-08 
    6       1.208247769673e-06       1.028024900143e-10       5.163878258077e-09       0.000000000000e+00       2.196311661527e-05       1.707081309955e-06      -8.929025188518e-09 
    7       1.173532129192e-06       6.813448499905e-11       4.357219067317e-09       0.000000000000e+00       1.772134137509e-05       1.424093797961e-06      -5.431391988505e-09 
    8       1.150309016164e-06       4.026335740374e-11       3.570551187099e-09       0.000000000000e+00       1.464791967329e-05       1.207755254025e-06      -2.682328539099e-09 
    9       1.136123672318e-06       2.327871701545e-11       2.876376703964e-09       0.000000000000e+00       1.233443781201e-05       1.037881304340e-06      -6.980612906257e-10 
   10       1.128836039685e-06       1.566678912778e-11       2.315376516306e-09       0.000000000000e+00       1.054081998390e-05       9.020152633136e-07       5.746893578380e-10 
   11       1.127049201946e-06       1.342060223945e-11       1.904248511524e-09       0.000000000000e+00       8.887485993335e-06       7.947968852573e-07       1.231810691847e-09 
   12       1.129672519126e-06       1.284766310808e-11       1.640241817534e-09       0.000000000000e+00       7.765782800802e-06       7.025614584726e-07       1.419529856594e-09 
   13       1.135517671441e-06       1.197400925916e-11       1.505673276629e-09       0.000000000000e+00       6.844996513360e-06       6.272200335367e-07       1.275441975528e-09 
   14       1.143595630623e-06       1.051991341643e-11       1.474431346736e-09       0.000000000000e+00       6.078881613736e-06       5.619132661025e-07       9.267377380716e-10 
