# dimensionless [l(l+1)/2pi] C_l's for scalar cross ADxADDCS mode
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       6.803581190476e-06       1.599017550437e-09       1.570307231752e-07       0.000000000000e+00       1.914474337897e-05      -5.595020125877e-07      -1.631762602756e-07 
    3       2.377820432012e-06       1.087769743287e-09       8.532996667270e-08       0.000000000000e+00       1.935050388678e-05       1.256051771189e-06      -5.297445550659e-08 
    4       1.362510114986e-06       7.725158284279e-10       5.612831744644e-08       0.000000000000e+00       1.566307608653e-05       1.182910568937e-06      -2.519224344368e-08 
    5       1.000808533550e-06       5.671630376505e-10       4.098652459938e-08       0.000000000000e+00       1.257152599582e-05       1.004763825335e-06      -1.533542649396e-08 
    6       8.356313995980e-07       4.185971640860e-10       3.181045316946e-08       0.000000000000e+00       1.023200983918e-05       8.469595173063e-07      -1.056062353228e-08 
    7       7.459219579295e-07       3.050076406691e-10       2.564887919008e-08       0.000000000000e+00       8.467164861348e-06       7.154867881497e-07      -7.551559425393e-09 
    8       6.924439665675e-07       2.169092932181e-10       2.115739997048e-08       0.000000000000e+00       7.114697386725e-06       6.095630834592e-07      -5.333623089248e-09 
    9       6.575660749547e-07       1.507893628370e-10       1.766466826727e-08       0.000000000000e+00       6.058396552796e-06       5.260388284370e-07      -3.638392146974e-09 
   10       6.317090828734e-07       1.039239444948e-10       1.486231624522e-08       0.000000000000e+00       5.218664532925e-06       4.599696725467e-07      -2.382711618963e-09 
   11       6.120152544947e-07       7.249396161629e-11       1.261510047494e-08       0.000000000000e+00       4.449947287733e-06       4.079895762015e-07      -1.110749552302e-09 
   12       5.974306596150e-07       5.218885772297e-11       1.082462547840e-08       0.000000000000e+00       3.906010580399e-06       3.664155636482e-07      -6.681086719864e-10 
