# dimensionless [l(l+1)/2pi] C_l's for adiabatic decaying scalar (ADDCS) mode
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.803000893711e-03       5.228393892539e-07       2.328139409394e-05       0.000000000000e+00       1.236703138210e-04       3.771928465789e-04       6.469901536947e-06 
    3       8.252651995912e-05       7.957328494514e-08       2.303906180174e-06       0.000000000000e+00       1.511572462433e-05       1.540006364617e-05       5.631992991761e-07 
    4       1.973024998695e-05       2.409163381998e-08       5.325916119442e-07       0.000000000000e+00       8.417575364202e-06       2.941466236304e-06       1.177608026586e-07 
    5       5.203050812915e-06       1.103345636964e-08       2.101347385749e-07       0.000000000000e+00       6.259046491305e-06       1.114206583262e-06       3.669168598060e-08 
    6       2.336565440301e-06       6.233929433866e-09       1.070003400186e-07       0.000000000000e+00       5.026250212016e-06       6.433565380335e-07       1.327962544177e-08 
    7       1.301726498008e-06       3.977966426239e-09       6.429001431851e-08       0.000000000000e+00       4.167748002175e-06       4.539414921835e-07       4.761413961365e-09 
    8       8.427947359465e-07       2.723179459183e-09       4.296460462293e-08       0.000000000000e+00       3.521437365869e-06       3.535841465987e-07       1.322678976347e-09 
    9       6.143095448724e-07       1.939791603081e-09       3.074083549085e-08       0.000000000000e+00       3.015737515827e-06       2.907838948546e-07      -5.077528004215e-11 
   10       4.883863763602e-07       1.413469625471e-09       2.292904183970e-08       0.000000000000e+00       2.610725992360e-06       2.474846939109e-07      -5.116304020688e-10 
   11       4.133604101585e-07       1.047374579731e-09       1.758058898219e-08       0.000000000000e+00       2.243799865126e-06       2.116508122476e-07      -7.177703545835e-10 
   12       3.665324914689e-07       7.892506406005e-10       1.378951134296e-08       0.000000000000e+00       1.977221170256e-06       1.929308988085e-07      -2.987693325508e-10 
   13       3.363518690473e-07       6.043287191149e-10       1.103963211507e-08       0.000000000000e+00       1.753125703315e-06       1.689872251581e-07      -4.338125568262e-10 
   14       3.168555552185e-07       4.682170453838e-10       8.991635029497e-09       0.000000000000e+00       1.564061972787e-06       1.525969650099e-07      -3.430139482929e-10 
   15       3.043621184831e-07       3.650592910634e-10       7.413449040785e-09       0.000000000000e+00       1.402802779455e-06       1.389865379208e-07      -2.803233260456e-10 
   16       2.961360992103e-07       2.852421055260e-10       6.153064253334e-09       0.000000000000e+00       1.264207814301e-06       1.273812855255e-07      -2.543407539723e-10 
   17       2.905913381767e-07       2.228410175907e-10       5.119976226074e-09       0.000000000000e+00       1.144080423719e-06       1.164007941125e-07      -2.914543361861e-10 
   18       2.868812581329e-07       1.735625591683e-10       4.255106400063e-09       0.000000000000e+00       1.038943964363e-06       1.060662529417e-07      -3.463706742887e-10 
   19       2.851575047878e-07       1.352783675036e-10       3.536872874898e-09       0.000000000000e+00       9.474936735635e-07       9.699965467895e-08      -3.789543700880e-10 
   20       2.844334830385e-07       1.048153451092e-10       2.921305527568e-09       0.000000000000e+00       8.665466450306e-07       8.929355236651e-08      -3.698577637489e-10 
   21       2.845299591194e-07       8.073995036624e-11       2.392925066896e-09       0.000000000000e+00       7.949798994698e-07       8.272936816557e-08      -3.275070200613e-10 
   22       2.853891617324e-07       6.162296195722e-11       1.936994287707e-09       0.000000000000e+00       7.311954773776e-07       7.685463197717e-08      -2.715475794167e-10 
   23       2.869226256110e-07       4.663786709873e-11       1.545925852014e-09       0.000000000000e+00       6.744002104771e-07       7.148682082186e-08      -2.105772016568e-10 
   24       2.889545064403e-07       3.486073475093e-11       1.209718573564e-09       0.000000000000e+00       6.233720125035e-07       6.648167456190e-08      -1.504641640764e-10 
   25       2.914590536206e-07       2.576298996780e-11       9.241158516997e-10       0.000000000000e+00       5.775600065944e-07       6.186861011007e-08      -9.639996617468e-11 
